client_id,R_Score,F_Score,M_Score,Segment
1,3,1,1,Mid-Tier
2,2,1,2,Mid-Tier
3,3,1,1,Mid-Tier
4,1,1,3,Big Spender
5,1,1,1,Mid-Tier
6,2,2,1,Mid-Tier
7,3,4,4,VIP Clients
8,3,2,1,Mid-Tier
10,2,2,4,Potential Loyalist
11,3,1,1,Mid-Tier
12,3,1,1,Mid-Tier
13,3,3,4,VIP Clients
14,3,3,3,VIP Clients
15,1,3,1,Mid-Tier
16,1,1,2,Mid-Tier
17,1,1,1,Mid-Tier
19,1,1,2,Mid-Tier
20,2,1,3,Big Spender
21,3,3,3,VIP Clients
22,1,3,4,At Risk
23,3,2,3,Potential Loyalist
25,2,2,4,Potential Loyalist
26,3,3,2,Potential Loyalist
27,1,2,4,Big Spender
28,2,3,4,Regular High-Value
29,3,3,4,VIP Clients
30,1,1,1,Mid-Tier
31,3,4,4,VIP Clients
32,1,1,4,Big Spender
34,3,2,2,Potential Loyalist
35,3,2,2,Potential Loyalist
36,2,2,2,Potential Loyalist
37,2,4,4,Regular High-Value
38,1,1,1,Mid-Tier
39,3,1,1,Mid-Tier
41,3,1,2,Mid-Tier
42,3,4,3,VIP Clients
43,2,3,3,Regular High-Value
45,2,1,2,Mid-Tier
46,3,2,3,Potential Loyalist
47,2,2,1,Mid-Tier
48,3,4,4,VIP Clients
49,2,2,4,Potential Loyalist
50,3,1,1,Mid-Tier
51,3,4,3,VIP Clients
52,3,3,3,VIP Clients
53,3,3,4,VIP Clients
54,2,1,1,Mid-Tier
56,3,3,2,Potential Loyalist
58,1,2,2,At Risk
59,2,4,4,Regular High-Value
60,3,2,3,Potential Loyalist
61,2,3,3,Regular High-Value
62,2,4,3,Regular High-Value
63,2,1,3,Big Spender
64,2,2,1,Mid-Tier
65,2,1,1,Mid-Tier
66,3,2,1,Mid-Tier
67,3,1,1,Mid-Tier
70,1,1,3,Big Spender
71,3,2,2,Potential Loyalist
72,3,3,2,Potential Loyalist
73,3,2,2,Potential Loyalist
74,3,4,4,VIP Clients
76,3,2,1,Mid-Tier
77,1,4,3,At Risk
78,1,2,1,Mid-Tier
79,3,3,3,VIP Clients
80,3,1,1,Mid-Tier
81,3,2,1,Mid-Tier
83,3,4,4,VIP Clients
85,1,1,2,Mid-Tier
86,2,3,3,Regular High-Value
87,3,2,1,Mid-Tier
88,3,3,3,VIP Clients
89,2,4,3,Regular High-Value
90,1,3,4,At Risk
91,3,1,2,Mid-Tier
92,1,1,3,Big Spender
93,2,4,4,Regular High-Value
94,3,3,3,VIP Clients
96,2,3,3,Regular High-Value
97,3,2,3,Potential Loyalist
98,1,2,2,At Risk
99,3,4,4,VIP Clients
101,3,4,3,VIP Clients
102,2,3,4,Regular High-Value
104,2,2,3,Potential Loyalist
105,2,4,4,Regular High-Value
106,3,4,4,VIP Clients
107,1,1,3,Big Spender
108,1,2,2,At Risk
109,3,2,2,Potential Loyalist
110,1,2,2,At Risk
111,3,4,2,Potential Loyalist
112,3,3,2,Potential Loyalist
113,3,4,3,VIP Clients
114,3,3,3,VIP Clients
115,3,1,2,Mid-Tier
116,3,3,4,VIP Clients
117,3,2,2,Potential Loyalist
118,3,4,2,Potential Loyalist
119,3,4,3,VIP Clients
120,3,4,4,VIP Clients
121,3,2,1,Mid-Tier
123,3,3,3,VIP Clients
124,3,4,4,VIP Clients
125,2,2,1,Mid-Tier
126,3,4,4,VIP Clients
127,1,1,1,Mid-Tier
128,3,2,2,Potential Loyalist
129,1,2,2,At Risk
130,2,2,3,Potential Loyalist
131,1,1,1,Mid-Tier
132,3,2,2,Potential Loyalist
133,3,1,1,Mid-Tier
135,2,3,4,Regular High-Value
136,1,1,1,Mid-Tier
137,3,4,4,VIP Clients
138,3,4,4,VIP Clients
139,3,3,4,VIP Clients
140,3,3,2,Potential Loyalist
141,3,3,3,VIP Clients
142,2,2,2,Potential Loyalist
143,3,1,1,Mid-Tier
144,1,2,2,At Risk
145,3,3,4,VIP Clients
146,1,1,4,Big Spender
147,3,4,4,VIP Clients
150,3,2,2,Potential Loyalist
152,3,1,1,Mid-Tier
153,1,1,2,Mid-Tier
154,3,1,2,Mid-Tier
155,3,2,3,Potential Loyalist
156,3,1,1,Mid-Tier
157,2,1,4,Big Spender
158,1,1,3,Big Spender
159,1,1,1,Mid-Tier
160,3,3,3,VIP Clients
161,2,1,4,Big Spender
162,2,2,4,Potential Loyalist
163,2,4,4,Regular High-Value
164,2,2,2,Potential Loyalist
165,3,2,3,Potential Loyalist
166,3,3,2,Potential Loyalist
167,2,2,4,Potential Loyalist
168,3,4,2,Potential Loyalist
169,1,1,1,Mid-Tier
170,3,2,1,Mid-Tier
171,3,4,3,VIP Clients
172,3,3,4,VIP Clients
175,2,1,2,Mid-Tier
176,2,2,3,Potential Loyalist
177,3,2,3,Potential Loyalist
180,3,3,3,VIP Clients
181,3,1,2,Mid-Tier
182,2,2,3,Potential Loyalist
183,1,1,3,Big Spender
184,3,1,1,Mid-Tier
185,3,1,1,Mid-Tier
186,3,3,4,VIP Clients
187,3,3,4,VIP Clients
188,2,2,2,Potential Loyalist
189,1,2,1,Mid-Tier
190,2,4,4,Regular High-Value
191,3,3,4,VIP Clients
192,1,1,1,Mid-Tier
193,2,1,4,Big Spender
194,3,3,4,VIP Clients
195,3,1,1,Mid-Tier
196,3,3,4,VIP Clients
197,1,1,1,Mid-Tier
198,2,3,2,Potential Loyalist
199,2,1,1,Mid-Tier
200,3,1,1,Mid-Tier
201,3,4,4,VIP Clients
204,3,4,4,VIP Clients
205,3,4,4,VIP Clients
206,3,3,3,VIP Clients
208,3,2,2,Potential Loyalist
209,1,1,1,Mid-Tier
210,3,4,3,VIP Clients
211,3,3,3,VIP Clients
212,3,1,1,Mid-Tier
213,3,3,1,Mid-Tier
214,2,1,1,Mid-Tier
215,3,1,1,Mid-Tier
216,1,1,3,Big Spender
218,3,3,3,VIP Clients
219,3,4,4,VIP Clients
220,3,3,4,VIP Clients
221,2,1,1,Mid-Tier
222,3,4,3,VIP Clients
223,3,1,1,Mid-Tier
224,3,4,4,VIP Clients
225,3,1,1,Mid-Tier
226,3,1,1,Mid-Tier
227,3,2,1,Mid-Tier
228,1,1,1,Mid-Tier
229,2,1,1,Mid-Tier
231,3,1,3,Big Spender
232,3,2,1,Mid-Tier
233,2,2,3,Potential Loyalist
235,3,2,2,Potential Loyalist
237,2,3,3,Regular High-Value
238,2,1,2,Mid-Tier
239,3,3,3,VIP Clients
240,3,3,4,VIP Clients
241,2,1,1,Mid-Tier
242,3,4,4,VIP Clients
243,2,3,3,Regular High-Value
244,1,2,2,At Risk
245,3,4,4,VIP Clients
246,2,1,2,Mid-Tier
247,2,1,2,Mid-Tier
248,3,3,4,VIP Clients
250,3,4,4,VIP Clients
251,3,4,4,VIP Clients
252,3,4,2,Potential Loyalist
253,3,4,4,VIP Clients
255,3,2,2,Potential Loyalist
256,1,1,2,Mid-Tier
257,2,2,2,Potential Loyalist
259,3,3,3,VIP Clients
260,3,2,2,Potential Loyalist
261,3,2,2,Potential Loyalist
262,3,3,3,VIP Clients
263,3,1,2,Mid-Tier
264,1,1,3,Big Spender
265,3,1,1,Mid-Tier
266,3,2,3,Potential Loyalist
267,1,2,2,At Risk
268,3,1,3,Big Spender
269,3,1,1,Mid-Tier
270,1,1,1,Mid-Tier
271,3,3,3,VIP Clients
272,1,1,2,Mid-Tier
273,1,2,2,At Risk
274,3,1,4,Big Spender
275,1,1,3,Big Spender
276,1,1,2,Mid-Tier
277,1,1,2,Mid-Tier
278,3,1,1,Mid-Tier
279,3,1,1,Mid-Tier
281,2,3,4,Regular High-Value
282,3,4,3,VIP Clients
283,3,2,3,Potential Loyalist
284,3,3,4,VIP Clients
286,1,1,1,Mid-Tier
287,1,2,3,Big Spender
288,3,1,1,Mid-Tier
289,2,1,1,Mid-Tier
290,2,2,1,Mid-Tier
292,2,2,4,Potential Loyalist
293,3,2,3,Potential Loyalist
294,2,2,4,Potential Loyalist
295,3,2,1,Mid-Tier
296,3,3,4,VIP Clients
297,3,2,3,Potential Loyalist
298,1,4,4,At Risk
299,1,1,1,Mid-Tier
300,1,1,4,Big Spender
301,3,2,2,Potential Loyalist
302,3,2,3,Potential Loyalist
303,3,2,2,Potential Loyalist
304,1,2,2,At Risk
305,3,3,4,VIP Clients
306,3,2,4,Potential Loyalist
307,2,1,4,Big Spender
308,3,3,3,VIP Clients
309,2,2,4,Potential Loyalist
310,3,3,4,VIP Clients
311,3,4,3,VIP Clients
312,2,2,3,Potential Loyalist
313,1,1,1,Mid-Tier
314,3,4,4,VIP Clients
315,3,2,1,Mid-Tier
316,3,2,2,Potential Loyalist
317,2,1,3,Big Spender
318,2,1,1,Mid-Tier
319,2,1,1,Mid-Tier
320,1,1,2,Mid-Tier
322,3,4,4,VIP Clients
323,2,2,3,Potential Loyalist
324,1,1,1,Mid-Tier
326,3,4,3,VIP Clients
327,3,4,4,VIP Clients
329,2,2,1,Mid-Tier
330,1,2,2,At Risk
331,3,3,3,VIP Clients
332,3,2,3,Potential Loyalist
334,1,1,2,Mid-Tier
335,1,1,2,Mid-Tier
337,3,1,2,Mid-Tier
338,1,2,2,At Risk
339,3,3,3,VIP Clients
342,3,4,4,VIP Clients
343,1,1,3,Big Spender
344,1,1,4,Big Spender
345,3,4,4,VIP Clients
346,1,1,1,Mid-Tier
347,2,1,1,Mid-Tier
348,3,2,1,Mid-Tier
349,3,4,4,VIP Clients
350,3,3,1,Mid-Tier
351,2,3,4,Regular High-Value
352,2,1,1,Mid-Tier
353,3,2,4,Potential Loyalist
354,3,2,2,Potential Loyalist
355,3,4,4,VIP Clients
356,1,2,4,Big Spender
358,2,2,3,Potential Loyalist
359,2,2,4,Potential Loyalist
360,3,2,2,Potential Loyalist
361,3,4,3,VIP Clients
362,2,1,2,Mid-Tier
363,3,1,1,Mid-Tier
364,3,4,2,Potential Loyalist
365,3,4,4,VIP Clients
366,3,2,2,Potential Loyalist
367,2,1,2,Mid-Tier
368,1,1,1,Mid-Tier
369,3,2,2,Potential Loyalist
371,3,3,2,Potential Loyalist
372,2,1,1,Mid-Tier
375,2,1,3,Big Spender
376,3,2,1,Mid-Tier
377,1,1,2,Mid-Tier
378,3,2,2,Potential Loyalist
379,2,4,4,Regular High-Value
380,3,3,2,Potential Loyalist
381,1,1,3,Big Spender
382,3,1,1,Mid-Tier
383,3,4,3,VIP Clients
384,2,3,4,Regular High-Value
385,3,4,3,VIP Clients
386,3,2,1,Mid-Tier
387,2,1,2,Mid-Tier
388,3,1,1,Mid-Tier
389,1,2,2,At Risk
391,3,4,4,VIP Clients
392,1,1,3,Big Spender
393,3,4,4,VIP Clients
394,3,4,3,VIP Clients
395,2,3,4,Regular High-Value
396,1,1,1,Mid-Tier
397,2,1,1,Mid-Tier
398,1,1,1,Mid-Tier
399,2,2,2,Potential Loyalist
401,2,2,2,Potential Loyalist
402,3,1,1,Mid-Tier
403,2,2,2,Potential Loyalist
404,3,3,2,Potential Loyalist
405,3,4,4,VIP Clients
406,3,3,3,VIP Clients
407,3,4,4,VIP Clients
409,2,1,1,Mid-Tier
410,3,3,1,Mid-Tier
411,3,2,2,Potential Loyalist
412,3,3,3,VIP Clients
413,2,1,4,Big Spender
414,3,3,2,Potential Loyalist
415,1,1,2,Mid-Tier
416,3,2,2,Potential Loyalist
417,2,4,2,Potential Loyalist
418,3,3,2,Potential Loyalist
420,3,3,3,VIP Clients
422,3,2,1,Mid-Tier
423,3,2,3,Potential Loyalist
424,3,2,2,Potential Loyalist
425,2,2,3,Potential Loyalist
426,2,1,1,Mid-Tier
427,2,3,1,Mid-Tier
428,1,1,1,Mid-Tier
429,3,4,1,Mid-Tier
430,3,2,2,Potential Loyalist
431,2,2,3,Potential Loyalist
432,2,2,4,Potential Loyalist
433,2,2,3,Potential Loyalist
434,2,1,2,Mid-Tier
435,1,1,1,Mid-Tier
436,2,2,2,Potential Loyalist
437,2,2,2,Potential Loyalist
438,2,2,3,Potential Loyalist
439,3,1,1,Mid-Tier
441,3,2,3,Potential Loyalist
442,2,3,1,Mid-Tier
443,1,1,3,Big Spender
444,3,3,3,VIP Clients
445,3,1,1,Mid-Tier
446,2,2,3,Potential Loyalist
448,2,2,3,Potential Loyalist
449,3,3,4,VIP Clients
450,3,2,1,Mid-Tier
451,2,2,3,Potential Loyalist
452,2,3,4,Regular High-Value
453,3,2,2,Potential Loyalist
454,3,3,2,Potential Loyalist
455,3,4,2,Potential Loyalist
456,3,2,3,Potential Loyalist
457,2,2,3,Potential Loyalist
458,2,2,3,Potential Loyalist
459,3,2,1,Mid-Tier
460,3,2,2,Potential Loyalist
462,3,2,3,Potential Loyalist
463,2,4,3,Regular High-Value
464,3,2,2,Potential Loyalist
465,3,4,4,VIP Clients
466,3,4,4,VIP Clients
467,3,4,4,VIP Clients
468,2,1,2,Mid-Tier
469,3,4,3,VIP Clients
470,3,2,1,Mid-Tier
471,3,2,2,Potential Loyalist
472,3,2,4,Potential Loyalist
473,2,4,4,Regular High-Value
474,1,1,1,Mid-Tier
475,3,2,1,Mid-Tier
476,3,4,3,VIP Clients
477,2,1,1,Mid-Tier
478,3,1,1,Mid-Tier
479,1,1,1,Mid-Tier
480,3,4,4,VIP Clients
481,3,2,3,Potential Loyalist
482,2,1,1,Mid-Tier
483,3,2,1,Mid-Tier
484,3,2,4,Potential Loyalist
485,2,3,3,Regular High-Value
486,3,2,2,Potential Loyalist
487,2,1,1,Mid-Tier
488,2,2,1,Mid-Tier
489,3,2,2,Potential Loyalist
490,1,1,1,Mid-Tier
491,2,2,4,Potential Loyalist
492,3,3,2,Potential Loyalist
493,1,1,4,Big Spender
494,2,3,3,Regular High-Value
495,3,4,4,VIP Clients
496,3,3,2,Potential Loyalist
497,3,3,1,Mid-Tier
498,1,1,1,Mid-Tier
500,2,2,3,Potential Loyalist
501,1,2,3,Big Spender
502,1,1,1,Mid-Tier
504,1,1,2,Mid-Tier
506,3,3,1,Mid-Tier
507,3,3,3,VIP Clients
508,3,3,4,VIP Clients
511,1,3,2,At Risk
512,3,1,1,Mid-Tier
514,2,2,3,Potential Loyalist
515,3,3,3,VIP Clients
517,2,2,3,Potential Loyalist
518,3,3,2,Potential Loyalist
519,1,1,1,Mid-Tier
520,3,4,4,VIP Clients
521,3,2,2,Potential Loyalist
522,2,1,2,Mid-Tier
523,2,1,1,Mid-Tier
524,3,2,4,Potential Loyalist
525,2,3,4,Regular High-Value
526,3,4,3,VIP Clients
527,2,1,1,Mid-Tier
528,2,1,1,Mid-Tier
529,3,3,3,VIP Clients
530,2,3,4,Regular High-Value
531,3,4,3,VIP Clients
532,2,3,4,Regular High-Value
533,2,4,4,Regular High-Value
534,3,2,1,Mid-Tier
536,2,1,1,Mid-Tier
537,2,1,1,Mid-Tier
538,3,4,3,VIP Clients
539,2,1,2,Mid-Tier
540,3,3,2,Potential Loyalist
542,1,1,1,Mid-Tier
543,3,2,1,Mid-Tier
544,3,1,1,Mid-Tier
545,3,4,4,VIP Clients
546,2,2,2,Potential Loyalist
547,3,1,2,Mid-Tier
548,3,2,4,Potential Loyalist
549,3,1,2,Mid-Tier
550,3,2,2,Potential Loyalist
551,3,3,2,Potential Loyalist
552,1,3,2,At Risk
553,1,1,1,Mid-Tier
554,2,1,1,Mid-Tier
555,3,3,4,VIP Clients
556,2,2,4,Potential Loyalist
557,2,3,4,Regular High-Value
558,3,4,4,VIP Clients
559,2,1,2,Mid-Tier
560,3,2,4,Potential Loyalist
561,3,3,3,VIP Clients
562,3,1,1,Mid-Tier
563,1,2,4,Big Spender
564,3,2,2,Potential Loyalist
565,3,1,1,Mid-Tier
566,1,2,4,Big Spender
567,2,2,1,Mid-Tier
568,2,1,1,Mid-Tier
569,3,4,3,VIP Clients
570,1,2,2,At Risk
571,3,1,1,Mid-Tier
572,3,4,3,VIP Clients
573,3,3,3,VIP Clients
574,3,4,3,VIP Clients
576,2,3,2,Potential Loyalist
578,3,4,3,VIP Clients
579,3,3,3,VIP Clients
580,3,2,2,Potential Loyalist
581,1,1,1,Mid-Tier
582,3,4,3,VIP Clients
584,3,2,2,Potential Loyalist
585,1,1,1,Mid-Tier
586,3,2,2,Potential Loyalist
587,3,2,3,Potential Loyalist
589,3,4,3,VIP Clients
590,2,3,3,Regular High-Value
591,2,2,2,Potential Loyalist
592,2,1,1,Mid-Tier
593,3,4,4,VIP Clients
594,2,4,4,Regular High-Value
595,1,4,3,At Risk
596,3,1,2,Mid-Tier
597,3,2,1,Mid-Tier
598,3,4,3,VIP Clients
599,2,3,3,Regular High-Value
600,2,2,4,Potential Loyalist
601,1,1,1,Mid-Tier
602,3,4,3,VIP Clients
604,3,1,2,Mid-Tier
605,2,4,4,Regular High-Value
606,3,3,3,VIP Clients
607,3,2,2,Potential Loyalist
608,1,1,3,Big Spender
609,3,2,2,Potential Loyalist
611,3,4,4,VIP Clients
612,1,1,1,Mid-Tier
613,1,1,1,Mid-Tier
614,1,2,2,At Risk
615,1,1,4,Big Spender
616,1,1,4,Big Spender
617,3,3,2,Potential Loyalist
618,3,2,3,Potential Loyalist
621,1,2,3,Big Spender
622,3,2,2,Potential Loyalist
623,1,2,3,Big Spender
624,2,2,2,Potential Loyalist
625,1,1,3,Big Spender
626,1,2,4,Big Spender
627,3,3,2,Potential Loyalist
628,1,1,1,Mid-Tier
629,3,4,3,VIP Clients
630,3,3,3,VIP Clients
631,2,1,2,Mid-Tier
632,3,1,1,Mid-Tier
633,3,4,4,VIP Clients
634,3,3,4,VIP Clients
635,3,1,2,Mid-Tier
636,3,3,3,VIP Clients
637,2,3,3,Regular High-Value
638,3,4,3,VIP Clients
639,3,2,3,Potential Loyalist
640,2,4,4,Regular High-Value
641,3,1,1,Mid-Tier
642,1,1,3,Big Spender
643,1,2,3,Big Spender
644,3,4,4,VIP Clients
645,3,3,4,VIP Clients
646,3,4,4,VIP Clients
647,3,2,1,Mid-Tier
648,2,2,4,Potential Loyalist
649,2,3,2,Potential Loyalist
651,3,3,3,VIP Clients
652,2,3,3,Regular High-Value
654,1,2,3,Big Spender
655,3,3,4,VIP Clients
656,2,4,4,Regular High-Value
657,3,4,4,VIP Clients
658,2,1,4,Big Spender
660,3,3,4,VIP Clients
662,3,2,3,Potential Loyalist
663,3,2,2,Potential Loyalist
665,3,1,1,Mid-Tier
666,1,2,2,At Risk
667,1,2,3,Big Spender
668,3,2,2,Potential Loyalist
669,3,3,4,VIP Clients
670,1,1,2,Mid-Tier
671,3,1,1,Mid-Tier
672,3,1,2,Mid-Tier
673,3,2,1,Mid-Tier
674,3,4,4,VIP Clients
675,3,3,1,Mid-Tier
676,3,2,1,Mid-Tier
677,3,4,3,VIP Clients
678,1,1,4,Big Spender
679,1,1,4,Big Spender
680,3,4,4,VIP Clients
682,2,1,2,Mid-Tier
683,3,3,3,VIP Clients
684,3,4,2,Potential Loyalist
685,2,4,3,Regular High-Value
686,2,1,3,Big Spender
687,3,3,3,VIP Clients
689,2,4,4,Regular High-Value
690,3,3,4,VIP Clients
691,3,2,3,Potential Loyalist
692,3,3,3,VIP Clients
693,3,2,2,Potential Loyalist
694,1,2,1,Mid-Tier
695,2,2,3,Potential Loyalist
696,3,3,2,Potential Loyalist
697,2,1,2,Mid-Tier
698,2,3,1,Mid-Tier
700,1,1,3,Big Spender
701,3,3,4,VIP Clients
702,3,1,3,Big Spender
703,1,1,1,Mid-Tier
704,3,3,3,VIP Clients
